,Year-Sem,SECTION,A,B,C,D,F,TOTAL A-F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR,Year-sem
4,,COURSE TOTAL:,12,19,8,1,4,44.0,2.772,0.0,0.0,0.0,0.0,0.0,44.0,,20211
24,,COURSE TOTAL:,284,44,16,10,1,355.0,Error,0.0,0.0,0.0,0.0,0.0,355.0,,20212
2,,COURSE TOTAL:,21,7,1,3,1,33.0,3.333,0.0,0.0,0.0,0.0,0.0,33.0,,20211
8,,COURSE TOTAL:,39,22,8,3,3,75.0,3.213,0.0,0.0,0.0,3.0,0.0,78.0,,20211
12,,COURSE TOTAL:,23,14,10,1,2,50.0,3.1,0.0,0.0,0.0,0.0,0.0,50.0,,20211
18,,COURSE TOTAL:,7,15,5,0,0,27.0,3.074,0.0,0.0,0.0,6.0,0.0,33.0,,20211
24,,COURSE TOTAL:,16,14,5,0,0.1,35,3.314,2,0.2,0.3,1,0.4,38,Unnamed: 0,20211
28,,COURSE TOTAL:,19,0,1,0,0,20.0,3.9,0.0,0.0,0.0,0.0,0.0,20.0,,20211
32,,COURSE TOTAL:,9,13,3,0,0,25.0,3.24,0.0,0.0,0.0,0.0,0.0,25.0,,20211
36,,COURSE TOTAL:,33,2,1,1,1,38.0,3.71,1.0,0.0,0.0,1.0,0.0,40.0,,20211
40,,COURSE TOTAL:,33,2,4,0,1,40.0,3.65,0.0,0.0,0.0,0.0,0.0,40.0,,20211
44,,COURSE TOTAL:,8,9,1,0,0,18.0,3.388,1.0,0.0,0.0,1.0,0.0,20.0,,20211
48,,COURSE TOTAL:,6,0,0.1,0.2,0.3,6.1,4.000,0.4,0.5,0.6,0.7,0.8,6.2,Unnamed: 0,20211
54,,COURSE TOTAL:,16,0,0,0,0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,,20211
58,,COURSE TOTAL:,5,4,1,0,0,10.0,3.4,0.0,0.0,0.0,0.0,0.0,10.0,,20211
62,,COURSE TOTAL:,10,2,0,0,0,12.0,3.833,0.0,0.0,0.0,0.0,0.0,12.0,,20211
66,,COURSE TOTAL:,7,4,1,0,0,12.0,3.5,0.0,0.0,0.0,0.0,0.0,12.0,,20211
70,,COURSE TOTAL:,8,7,1,0,0,16.0,3.437,1.0,0.0,0.0,1.0,0.0,18.0,,20211
74,,COURSE TOTAL:,10,5,2,0,0,17.0,3.47,0.0,0.0,0.0,1.0,0.0,18.0,,20211
78,,COURSE TOTAL:,3,4,3,0,0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,,20211
82,,COURSE TOTAL:,7,2,1,0,0,10.0,3.6,0.0,0.0,0.0,0.0,0.0,10.0,,20211
86,,COURSE TOTAL:,10,0,0,0,0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,,20211
90,,COURSE TOTAL:,4,4,2,0,0,10.0,3.2,0.0,0.0,0.0,0.0,0.0,10.0,,20211
96,,COURSE TOTAL:,13,6,0,0.1,1,20,3.500,0.2,0.3,0.4,1.1,0.5,21,Unnamed: 0,20211
100,,COURSE TOTAL:,17,7,2,0,1,27.0,3.444,0.0,0.0,0.0,2.0,0.0,29.0,,20211
104,,COURSE TOTAL:,7,9,3,1,1,21.0,2.952,0.0,0.0,0.0,2.0,0.0,23.0,,20211
108,,COURSE TOTAL:,15,0,0,0,0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,,20211
114,,COURSE TOTAL:,17,0,0,0,0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,,20211
122,,COURSE TOTAL:,22,2,0,0,0,24.0,3.9160000000000004,0.0,0.0,0.0,0.0,0.0,24.0,,20211
126,,COURSE TOTAL:,13,1,0,0,0,14.0,3.928,0.0,0.0,0.0,0.0,0.0,14.0,,20211
130,,COURSE TOTAL:,4,3,0,0,0,7.0,3.571,0.0,0.0,0.0,1.0,0.0,8.0,,20211
134,,COURSE TOTAL:,12,1,0,0,0,13.0,3.923,0.0,0.0,0.0,0.0,0.0,13.0,,20211
144,,COURSE TOTAL:,86,27,15,1,0,129,3.534,0.1,0.2,0.3,1.1,0.4,130,Unnamed: 0,20211
148,,COURSE TOTAL:,10,0,0,0,0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,,20211
154,,COURSE TOTAL:,71,25,13,2,4,115.0,3.365,0.0,0.0,0.0,2.0,0.0,117.0,,20211
174,,COURSE TOTAL:,66,103,91,16,11,287.0,2.6860000000000004,0.0,0.0,0.0,23.0,0.0,310.0,,20211
178,,COURSE TOTAL:,24,5,1,0,0,30.0,3.766,0.0,0.0,0.0,0.0,0.0,30.0,,20211
182,,COURSE TOTAL:,13,0,0,0,0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,,20211
186,,COURSE TOTAL:,22,10,7,0,0,39.0,3.384,0.0,0.0,0.0,1.0,0.0,40.0,,20211
192,,COURSE TOTAL:,67,32,20,2,2,123.0,3.3,0.0,0.0,0.0,4.0,0.0,127.0,,20211
196,,COURSE TOTAL:,14,3,4,0,0,21.0,3.4760000000000004,0.0,0.0,0.0,0.0,0.0,21.0,,20211
204,,COURSE TOTAL:,35,23,17,0,3,78.0,3.115,0.0,0.0,0.0,6.0,0.0,84.0,,20211
208,,COURSE TOTAL:,35,6,0,0,0,41.0,3.853,0.0,0.0,0.0,0.0,0.0,41.0,,20211
212,,COURSE TOTAL:,80,8,1,0,0,89.0,3.887,0.0,0.0,0.0,1.0,0.0,90.0,,20211
216,,COURSE TOTAL:,6,0,0,0,0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,,20211
228,,COURSE TOTAL:,64,86,51,22,11,234.0,2.7260000000000004,0.0,0.0,0.0,59.0,0.0,293.0,,20211
232,,COURSE TOTAL:,175,24,6,2,4,211.0,3.725,0.0,0.0,0.0,8.0,0.0,219.0,,20211
236,,COURSE TOTAL:,26,9,4,1,0,40.0,3.5,0.0,0.0,0.0,2.0,0.0,42.0,,20211
248,,COURSE TOTAL:,76,62,29,4,3,174.0,3.1719999999999997,0.0,0.0,0.0,6.0,0.0,180.0,,20211
254,,COURSE TOTAL:,188,36,14,3,0,241.0,3.697,0.0,0.0,0.0,7.0,0.0,248.0,,20211
264,,COURSE TOTAL:,141,36,7,2,0,186.0,3.698,0.0,0.0,0.0,9.0,0.0,195.0,,20211
276,,COURSE TOTAL:,40,49,12,3,2,106.0,3.15,0.0,0.0,0.0,8.0,0.0,114.0,,20211
282,,COURSE TOTAL:,45,20,3,1,0,69.0,3.5789999999999997,0.0,0.0,0.0,1.0,0.0,70.0,,20211
292,,COURSE TOTAL:,59,87,18,3,2,169.0,3.1710000000000003,0.0,0.0,0.0,5.0,0.0,174.0,,20211
298,,COURSE TOTAL:,26,19,15,11,1,72.0,2.805,0.0,0.0,0.0,7.0,0.0,79.0,,20211
304,,COURSE TOTAL:,11,19,14,3,2,49.0,2.693,0.0,0.0,0.0,3.0,0.0,52.0,,20211
308,,COURSE TOTAL:,75,96,34,5,2,212.0,3.117,0.0,0.0,0.0,2.0,0.0,214.0,,20211
312,,COURSE TOTAL:,22,4,0,0,0,26.0,3.846,0.0,0.0,0.0,1.0,0.0,27.0,,20211
322,,COURSE TOTAL:,182,52,5,0,0,239.0,3.74,0.0,0.0,0.0,0.0,0.0,239.0,,20211
328,,COURSE TOTAL:,36,20,4,1,1,62.0,3.435,0.0,0.0,0.0,2.0,0.0,64.0,,20211
334,,COURSE TOTAL:,6,19,20,7,0,52.0,2.461,0.0,0.0,0.0,11.0,0.0,63.0,,20211
338,,COURSE TOTAL:,54,5,0,1,0,60.0,3.866,0.0,0.0,0.0,0.0,0.0,60.0,,20211
342,,COURSE TOTAL:,11,4,0,0,0,15.0,3.733,0.0,0.0,0.0,0.0,0.0,15.0,,20211
348,,COURSE TOTAL:,73,20,3,0,0,96.0,3.7289999999999996,0.0,0.0,0.0,6.0,0.0,102.0,,20211
354,,COURSE TOTAL:,16,2,0,0,0,18.0,3.888,0.0,0.0,0.0,0.0,0.0,18.0,,20211
358,,COURSE TOTAL:,102,83,18,4,2,209.0,3.3339999999999996,0.0,0.0,0.0,9.0,0.0,218.0,,20211
362,,COURSE TOTAL:,58,60,31,4,1,154.0,3.103,0.0,0.0,0.0,3.0,0.0,157.0,,20211
368,,COURSE TOTAL:,30,19,5,0,0.1,54,3.462,0.2,0.3,0.4,1,0.5,55,Unnamed: 0,20211
372,,COURSE TOTAL:,17,61,14,1,0,93.0,3.01,0.0,0.0,0.0,3.0,0.0,96.0,,20211
376,,COURSE TOTAL:,12,22,14,0,2,50.0,2.84,0.0,0.0,0.0,2.0,0.0,52.0,,20211
382,,COURSE TOTAL:,13,20,25,6,3,67.0,2.5069999999999997,0.0,0.0,0.0,11.0,0.0,78.0,,20211
388,,COURSE TOTAL:,10,28,22,3,2,65.0,2.63,0.0,0.0,0.0,7.0,0.0,72.0,,20211
392,,COURSE TOTAL:,14,3,0,0.1,0.2,17,3.823,0.3,0.4,0.5,0.6,0.7,17.1,Unnamed: 0,20211
396,,COURSE TOTAL:,12,16,7,1,0,36.0,3.083,0.0,0.0,0.0,3.0,0.0,39.0,,20211
400,,COURSE TOTAL:,32,19,8,0,0,59.0,3.406,0.0,0.0,0.0,0.0,0.0,59.0,,20211
404,,COURSE TOTAL:,6,12,3,0,1,22.0,3.0,2.0,0.0,0.0,7.0,0.0,31.0,,20211
408,,COURSE TOTAL:,22,15,18,2,0,57.0,3.0,0.0,0.0,0.0,1.0,0.0,58.0,,20211
414,,COURSE TOTAL:,28,42,9,4,1,84.0,3.095,0.0,0.0,0.0,2.0,0.0,86.0,,20211
418,,COURSE TOTAL:,137,41,14,1,1,194.0,3.608,0.0,0.0,0.0,5.0,0.0,199.0,,20211
422,,COURSE TOTAL:,2,4,1,0,0,7.0,3.142,0.0,0.0,0.0,0.0,0.0,7.0,,20211
426,,COURSE TOTAL:,7,0,0,0,0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,,20211
430,,COURSE TOTAL:,8,1,0,0,0,9.0,3.888,0.0,0.0,0.0,1.0,0.0,10.0,,20211
434,,COURSE TOTAL:,8,19,21,1,0,49.0,2.693,0.0,0.0,0.0,0.0,0.0,49.0,,20211
438,,COURSE TOTAL:,8,2,0,0,0,10.0,3.8,0.0,0.0,0.0,0.0,0.0,10.0,,20211
442,,COURSE TOTAL:,8,0,0,0,0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,,20211
446,,COURSE TOTAL:,22,14,3,1,0,40.0,3.425,0.0,0.0,0.0,2.0,0.0,42.0,,20211
450,,COURSE TOTAL:,21,6,1,1,1,30.0,3.5,0.0,0.0,0.0,0.0,0.0,30.0,,20211
454,,COURSE TOTAL:,7,0,0,0,0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,,20211
458,,COURSE TOTAL:,5,4,0,0,0,9.0,3.555,0.0,0.0,0.0,0.0,0.0,9.0,,20211
462,,COURSE TOTAL:,11,10,0,0,0,21.0,3.523,0.0,0.0,0.0,0.0,0.0,21.0,,20211
466,,COURSE TOTAL:,3,2,0,0,0,5.0,3.6,0.0,0.0,0.0,0.0,0.0,5.0,,20211
476,,COURSE TOTAL:,330,45,17,5,4,401.0,3.725,0.0,0.0,0.0,8.0,0.0,409.0,,20211
488,,COURSE TOTAL:,85,10,2,0,1,98.0,3.8160000000000003,0.0,0.0,0.0,0.0,0.0,98.0,,20211
518,,COURSE TOTAL:,304,30,8,1,2,345.0,3.8339999999999996,0.0,0.0,0.0,1.0,0.0,346.0,,20211
524,,COURSE TOTAL:,258,82,6,0,1,347.0,3.717,0.0,0.0,0.0,2.0,0.0,349.0,,20211
528,,COURSE TOTAL:,58,9,4,0,2,73.0,3.657,0.0,0.0,0.0,3.0,0.0,76.0,,20211
532,,COURSE TOTAL:,79,29,3,3,1,115.0,3.582,0.0,0.0,0.0,0.0,0.0,115.0,,20211
536,,COURSE TOTAL:,22,1,1,0,0,24.0,3.875,0.0,0.0,0.0,0.0,0.0,24.0,,20211
540,,COURSE TOTAL:,11,6,0,0,0,17.0,3.647,0.0,0.0,0.0,1.0,0.0,18.0,,20211
544,,COURSE TOTAL:,6,0,0,0,0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,,20211
548,,COURSE TOTAL:,27,3,0,0,0,30.0,3.9,2.0,0.0,0.0,0.0,0.0,32.0,,20211
552,,COURSE TOTAL:,12,0,0,0,0,12.0,4.0,0.0,0.0,0.0,1.0,0.0,13.0,,20211
558,,COURSE TOTAL:,74,66,50,0,3,193.0,3.077,1.0,0.0,0.0,14.0,0.0,208.0,,20211
572,,COURSE TOTAL:,45,58,30,8,0,141,2.992,0.1,0.2,0.3,6,0.4,147,Unnamed: 0,20211
596,,COURSE TOTAL:,56,57,24,5,1,143.0,3.1319999999999997,0.0,0.0,0.0,3.0,0.0,146.0,,20211
602,,COURSE TOTAL:,2,16,9,3,3,33.0,2.333,0.0,0.0,0.0,9.0,0.0,42.0,,20211
606,,COURSE TOTAL:,9,0,0,0,0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,,20211
610,,COURSE TOTAL:,6,2,0,0,1,9.0,3.333,0.0,0.0,0.0,1.0,0.0,10.0,,20211
624,,COURSE TOTAL:,44,68,36,4,1,153,2.980,3,0,0.1,3.1,0.2,159,Unnamed: 0,20211
628,,COURSE TOTAL:,26,30,4,3,1,64.0,3.2030000000000003,0.0,0.0,0.0,1.0,0.0,65.0,,20211
632,,COURSE TOTAL:,51,0,0,0,0,51.0,4.0,0.0,0.0,0.0,0.0,0.0,51.0,,20211
636,,COURSE TOTAL:,22,47,15,11,1,96.0,2.812,1.0,0.0,0.0,0.0,0.0,97.0,,20211
654,,COURSE TOTAL:,34,69,54,15,5,177.0,2.6319999999999997,3.0,0.0,0.0,12.0,0.0,192.0,,20211
658,,COURSE TOTAL:,9,5,0,0,0,14.0,3.642,0.0,0.0,0.0,0.0,0.0,14.0,,20211
662,,COURSE TOTAL:,14,0,0,0,0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,15.0,,20211
666,,COURSE TOTAL:,30,4,5,0,0,39.0,3.641,0.0,0.0,0.0,0.0,0.0,39.0,,20211
674,,COURSE TOTAL:,39,15,2,0,1,57.0,3.596,0.0,0.0,0.0,0.0,0.0,57.0,,20211
678,,COURSE TOTAL:,5,8,0,0,0,13.0,3.384,0.0,0.0,0.0,1.0,0.0,14.0,,20211
682,,COURSE TOTAL:,29,25,13,4,0,71.0,3.112,0.0,0.0,0.0,4.0,0.0,75.0,,20211
686,,COURSE TOTAL:,8,2,0,0,0,10.0,3.8,0.0,0.0,0.0,0.0,0.0,10.0,,20211
696,,COURSE TOTAL:,20,4,0,0.1,0.2,24,3.833,0.3,0.4,0.5,0.6,0.7,24.1,Unnamed: 0,20211
706,,COURSE TOTAL:,60,11,2,0,0,73.0,3.7939999999999996,1.0,0.0,0.0,0.0,0.0,74.0,,20211
710,,COURSE TOTAL:,53,0,0,0,0,53.0,4.0,1.0,0.0,0.0,0.0,0.0,54.0,,20211
718,,COURSE TOTAL:,15,9,2,0,0,26.0,3.5,0.0,0.0,0.0,0.0,0.0,26.0,,20211
722,,COURSE TOTAL:,24,5,1,0,1,31.0,3.645,0.0,0.0,0.0,1.0,0.0,32.0,,20211
738,,COURSE TOTAL:,103,24,2,0,1,130.0,3.753,1.0,0.0,0.0,2.0,0.0,133.0,,20211
742,,COURSE TOTAL:,10,0,0,0,0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,,20211
752,,COURSE TOTAL:,32,0,0,0,0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,32.0,,20211
756,,COURSE TOTAL:,6,2,0,0,0,8.0,3.75,1.0,0.0,0.0,0.0,0.0,9.0,,20211
766,,COURSE TOTAL:,43,0,0,0,0,43.0,4.0,0.0,0.0,0.0,0.0,0.0,43.0,,20211
776,,COURSE TOTAL:,98,0,0,0,0,98.0,4.0,0.0,0.0,0.0,1.0,0.0,99.0,,20211
784,,COURSE TOTAL:,25,0,0,0,0,25.0,4.0,0.0,0.0,0.0,0.0,0.0,25.0,,20211
788,,COURSE TOTAL:,8,4,0,0,0,12.0,3.6660000000000004,1.0,0.0,0.0,0.0,0.0,13.0,,20211
792,,COURSE TOTAL:,11,2,0,0,0,13.0,3.846,0.0,0.0,0.0,0.0,0.0,13.0,,20211
