,_CASE_KEY,Variant,Customer_ID,Revenue,Costs,Pizza Type,Pizza Size,Customer Satisfaction,Cost Factor,Weekday,Daytime,Distribution Channel,Customer Location,Customer Type,Customer_Location,Customer_Type,SORTING,EVENTTIME,ACTIVITY_EN,Automation
0,895,1,175,17,13,Funghi,Medium,3,Chef 2,Sunday,14,Feedera SE,Munich District One,Student,Munich District Five,Adult,7169,2018-03-29 11:01:58,Order by phone,A
1,895,1,175,17,13,Funghi,Medium,3,Chef 2,Sunday,14,Feedera SE,Munich District One,Student,Munich District Five,Adult,7170,2018-03-29 11:03:58,Start preparing pizza,A
2,895,1,175,17,13,Funghi,Medium,3,Chef 2,Sunday,14,Feedera SE,Munich District One,Student,Munich District Five,Adult,7171,2018-03-29 11:06:58,Start baking pizza,A
3,895,1,175,17,13,Funghi,Medium,3,Chef 2,Sunday,14,Feedera SE,Munich District One,Student,Munich District Five,Adult,7172,2018-03-29 11:13:58,Baking pizza ready,B
4,895,1,175,17,13,Funghi,Medium,3,Chef 2,Sunday,14,Feedera SE,Munich District One,Student,Munich District Five,Adult,7173,2018-03-29 11:18:58,Plan route,A
5,895,1,175,17,13,Funghi,Medium,3,Chef 2,Sunday,14,Feedera SE,Munich District One,Student,Munich District Five,Adult,7174,2018-03-29 11:19:58,Departure pizza,B
6,895,1,175,17,13,Funghi,Medium,3,Chef 2,Sunday,14,Feedera SE,Munich District One,Student,Munich District Five,Adult,7175,2018-03-29 11:26:58,Pizza arrives at customer,A
7,895,1,175,17,13,Funghi,Medium,3,Chef 2,Sunday,14,Feedera SE,Munich District One,Student,Munich District Five,Adult,7176,2018-03-29 12:04:58,Payment customer,A
8,1644,1,175,21,5,Magherita,Large,2,Ingredients,Saturday,19,BestOrder Inc.,Munich District Three,Teenager,Munich District Five,Adult,13044,2018-03-20 12:18:05,Order by phone,A
9,1644,1,175,21,5,Magherita,Large,2,Ingredients,Saturday,19,BestOrder Inc.,Munich District Three,Teenager,Munich District Five,Adult,13045,2018-03-20 12:21:05,Start preparing pizza,A
10,1644,1,175,21,5,Magherita,Large,2,Ingredients,Saturday,19,BestOrder Inc.,Munich District Three,Teenager,Munich District Five,Adult,13046,2018-03-20 12:23:05,Start baking pizza,A
11,1644,1,175,21,5,Magherita,Large,2,Ingredients,Saturday,19,BestOrder Inc.,Munich District Three,Teenager,Munich District Five,Adult,13047,2018-03-20 12:32:05,Baking pizza ready,B
12,1644,1,175,21,5,Magherita,Large,2,Ingredients,Saturday,19,BestOrder Inc.,Munich District Three,Teenager,Munich District Five,Adult,13048,2018-03-20 12:32:05,Plan route,A
13,1644,1,175,21,5,Magherita,Large,2,Ingredients,Saturday,19,BestOrder Inc.,Munich District Three,Teenager,Munich District Five,Adult,13049,2018-03-20 12:34:05,Departure pizza,A
14,1644,1,175,21,5,Magherita,Large,2,Ingredients,Saturday,19,BestOrder Inc.,Munich District Three,Teenager,Munich District Five,Adult,13050,2018-03-20 12:38:05,Payment customer,A
15,1644,1,175,21,5,Magherita,Large,2,Ingredients,Saturday,19,BestOrder Inc.,Munich District Three,Teenager,Munich District Five,Adult,13051,2018-03-20 12:38:05,Pizza arrives at customer,A
16,1196,1,175,37,7,Funghi,Large,4,Chef 2,Wednesday,19,BestOrder Inc.,Munich District Three,Student,Munich District Five,Adult,9513,2018-04-26 08:19:22,Order by phone,A
17,1196,1,175,37,7,Funghi,Large,4,Chef 2,Wednesday,19,BestOrder Inc.,Munich District Three,Student,Munich District Five,Adult,9514,2018-04-26 08:21:22,Start preparing pizza,A
18,1196,1,175,37,7,Funghi,Large,4,Chef 2,Wednesday,19,BestOrder Inc.,Munich District Three,Student,Munich District Five,Adult,9515,2018-04-26 08:23:22,Start baking pizza,A
19,1196,1,175,37,7,Funghi,Large,4,Chef 2,Wednesday,19,BestOrder Inc.,Munich District Three,Student,Munich District Five,Adult,9516,2018-04-26 08:33:22,Baking pizza ready,A
20,1196,1,175,37,7,Funghi,Large,4,Chef 2,Wednesday,19,BestOrder Inc.,Munich District Three,Student,Munich District Five,Adult,9517,2018-04-26 08:38:22,Departure pizza,A
21,1196,1,175,37,7,Funghi,Large,4,Chef 2,Wednesday,19,BestOrder Inc.,Munich District Three,Student,Munich District Five,Adult,9518,2018-04-26 08:38:22,Plan route,B
22,1196,1,175,37,7,Funghi,Large,4,Chef 2,Wednesday,19,BestOrder Inc.,Munich District Three,Student,Munich District Five,Adult,9519,2018-04-26 08:41:22,Pizza arrives at customer,A
23,1196,1,175,37,7,Funghi,Large,4,Chef 2,Wednesday,19,BestOrder Inc.,Munich District Three,Student,Munich District Five,Adult,9520,2018-04-26 08:54:22,Payment customer,A
24,426,1,13,19,10,Salami,Small,3,Chef 2,Sunday,13,Deliver Now Holding,Munich District One,Student,Munich District Three,Teenager,3447,2018-04-25 07:33:28,Order by phone,A
25,426,1,13,19,10,Salami,Small,3,Chef 2,Sunday,13,Deliver Now Holding,Munich District One,Student,Munich District Three,Teenager,3448,2018-04-25 07:34:28,Start preparing pizza,B
26,426,1,13,19,10,Salami,Small,3,Chef 2,Sunday,13,Deliver Now Holding,Munich District One,Student,Munich District Three,Teenager,3449,2018-04-25 07:39:28,Start baking pizza,A
27,426,1,13,19,10,Salami,Small,3,Chef 2,Sunday,13,Deliver Now Holding,Munich District One,Student,Munich District Three,Teenager,3450,2018-04-25 07:47:28,Baking pizza ready,A
28,426,1,13,19,10,Salami,Small,3,Chef 2,Sunday,13,Deliver Now Holding,Munich District One,Student,Munich District Three,Teenager,3451,2018-04-25 07:49:28,Departure pizza,A
29,426,1,13,19,10,Salami,Small,3,Chef 2,Sunday,13,Deliver Now Holding,Munich District One,Student,Munich District Three,Teenager,3452,2018-04-25 07:49:28,Plan route,A
30,426,1,13,19,10,Salami,Small,3,Chef 2,Sunday,13,Deliver Now Holding,Munich District One,Student,Munich District Three,Teenager,3453,2018-04-25 07:55:28,Pizza arrives at customer,A
31,426,1,13,19,10,Salami,Small,3,Chef 2,Sunday,13,Deliver Now Holding,Munich District One,Student,Munich District Three,Teenager,3454,2018-04-25 08:08:28,Payment customer,A
32,822,1,13,49,11,Salami,Large,3,Chef 2,Sunday,20,BestOrder Inc.,Munich District Two,Teenager,Munich District Three,Teenager,6575,2018-04-20 12:27:39,Start preparing pizza,A
33,822,1,13,49,11,Salami,Large,3,Chef 2,Sunday,20,BestOrder Inc.,Munich District Two,Teenager,Munich District Three,Teenager,6576,2018-04-20 12:27:39,Order by phone,A
34,822,1,13,49,11,Salami,Large,3,Chef 2,Sunday,20,BestOrder Inc.,Munich District Two,Teenager,Munich District Three,Teenager,6577,2018-04-20 12:29:39,Start baking pizza,A
35,822,1,13,49,11,Salami,Large,3,Chef 2,Sunday,20,BestOrder Inc.,Munich District Two,Teenager,Munich District Three,Teenager,6578,2018-04-20 12:33:39,Baking pizza ready,A
36,822,1,13,49,11,Salami,Large,3,Chef 2,Sunday,20,BestOrder Inc.,Munich District Two,Teenager,Munich District Three,Teenager,6579,2018-04-20 12:36:39,Plan route,A
