,Year-Sem,SECTION,A,B,C,D,F,TOTAL A-F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR,Year-sem
0,,ASCC-101-502,7,7.1,2,1,2.1,19,2.842,0,0.1,0.2,0.3,0.4,19.1,MCCLURE M,20211
1,,ASCC-101-503,5,12,6,0,2,25.0,2.72,0.0,0.0,0.0,0.0,0.0,25.0,JONES M,20211
2,,ASCC-289-200,12,7,9,0,1,29,0.000,0.1,0.2,0.3,0.4,0.5,29.1,MCCLURE M,20212
3,,ASCC-289-201,25,3,0,1,0,29.0,0.000,0.0,0.0,0.0,0.0,0.0,29.0,MCCLURE M,20212
4,,ASCC-289-202,26,4,0,0,0,30.0,0.000,0.0,0.0,0.0,0.0,0.0,30.0,MCCLURE M,20212
5,,ASCC-289-203,24,5,1,0,0,30.0,0.000,0.0,0.0,0.0,0.0,0.0,30.0,MCCLURE M,20212
6,,ASCC-289-204,28,1,0,0,0,29.0,0.000,0.0,0.0,0.0,0.0,0.0,29.0,SPEED K,20212
7,,ASCC-289-205,22,4,2,2,0,30.0,0.000,0.0,0.0,0.0,0.0,0.0,30.0,MCCLURE M,20212
8,,ASCC-289-206,27,2,0,0,0,29.0,0.000,0.0,0.0,0.0,0.0,0.0,29.0,MCCLURE M,20212
9,,ASCC-289-207,24,5,1,0,0,30.0,0.000,0.0,0.0,0.0,0.0,0.0,30.0,MCCLURE M,20212
10,,ASCC-289-208,21,5,3,1,0,30.0,0.000,0.0,0.0,0.0,0.0,0.0,30.0,MCCLURE M,20212
11,,ASCC-289-209,29,1,0,0,0,30.0,0.000,0.0,0.0,0.0,0.0,0.0,30.0,MCCLURE M,20212
12,,AGCJ-281-500,21,7,1,3,1.1,33,3.333,0,0.1,0.2,0.3,0.4,33.1,PARRELLA J,20211
13,,AGCJ-307-501,13,9,7,3,0,32.0,3.0,0.0,0.0,0.0,2.0,0.0,34.0,BAKER C,20211
14,,AGCJ-307-700,26,13,1,0,3,43.0,3.372,0.0,0.0,0.0,1.0,0.0,44.0,TOPP K,20211
15,,AGCJ-312-501,23,14,10,1,2,50.0,3.1,0.0,0.0,0.0,0.0,0.0,50.0,MCGRATH P,20211
16,,AGCJ-313-901,6,8,0,0,0,14.0,3.428,0.0,0.0,0.0,0.0,0.0,14.0,LEGGETTE H,20211
17,,AGCJ-313-902,1,7,5,0,0,13.0,2.6919999999999997,0.0,0.0,0.0,6.0,0.0,19.0,LEGGETTE H,20211
18,,AGCJ-314-901,9,8,2,0,0,19.0,3.3680000000000003,1.0,0.0,0.0,0.0,0.0,20.0,DUNSFORD D,20211
19,,AGCJ-314-902,7,6,3,0,0,16.0,3.25,1.0,0.0,0.0,1.0,0.0,18.0,DUNSFORD D,20211
20,,AGCJ-407-599,19,0,1,0,0,20.0,3.9,0.0,0.0,0.0,0.0,0.0,20.0,PEDIGO M,20211
21,,AGCJ-408-700,9,13,3,0,0,25.0,3.24,0.0,0.0,0.0,0.0,0.0,25.0,WEGENER R,20211
22,,AGCJ-411-500,33,2,1,1,1,38.0,3.71,1.0,0.0,0.0,1.0,0.0,40.0,MCKIM B,20211
23,,AGCJ-481-500,33,2,4,0,1,40.0,3.65,0.0,0.0,0.0,0.0,0.0,40.0,DUNSFORD D,20211
24,,AGCJ-489-700,8,9,1,0,0,18.0,3.388,1.0,0.0,0.0,1.0,0.0,20.0,CHIVVIS J,20211
25,,AGCJ-491-521,6,0,0,0,0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,WINGENBACH G,20211
26,,AGCJ-494-515,6,0,0,0,0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,DUNSFORD D,20211
27,,AGCJ-494-566,10,0,0,0,0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,DUNSFORD D,20211
28,,AGSC-302-900,5,4,1,0,0,10.0,3.4,0.0,0.0,0.0,0.0,0.0,10.0,SHEEHAN C,20211
29,,AGSC-373-500,10,2,0,0,0,12.0,3.833,0.0,0.0,0.0,0.0,0.0,12.0,HANCOCK J,20211
30,,AGSC-383-501,7,4,1,0,0,12.0,3.5,0.0,0.0,0.0,0.0,0.0,12.0,HANCOCK J,20211
31,,AGSC-402-900,8,7,1,0,0,16.0,3.437,1.0,0.0,0.0,1.0,0.0,18.0,MOORE L,20211
32,,AGSC-405-500,10,5,2,0,0.1,17,3.470,0.2,0.3,0.4,1,0.5,18,MURPHY T,20211
33,,AGSC-425-502,3,4,3,0,0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,MURPHY T,20211
34,,AGSC-436-500,7,2,1,0,0,10.0,3.6,0.0,0.0,0.0,0.0,0.0,10.0,MURPHY T,20211
35,,AGSC-481-501,10,0,0,0,0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,MURPHY T,20211
36,,AGSC-484-525,4,4,2,0,0,10.0,3.2,0.0,0.0,0.0,0.0,0.0,10.0,MURPHY T,20211
37,,ALEC-412-599,8,3,0,0,1,12.0,3.4160000000000004,0.0,0.0,0.0,1.0,0.0,13.0,MURPHREY T,20211
